STR_CODE,STR_NAME,STR_TYPE,FULL_NAME,STR_STATUS,PST_CLASS,OWN,DATE_ACCEPT,SOURCE,FDMID,OLD_FDMID,GSA_NAME,DATE_ACT,SYS_DATE,SHAPE_LENGTH,PID,ACQDISTYPE
9999,HEINISH,AVE,HEINISH AVE,OPEN,LOCAL STREET,HRM,NULL,CA,300001242,0,HALIFAX,2001-12-06 00:00:00.0000000,2020-11-09 00:00:00.0000000,84.2341267227199,40923765,NULL
9999,EVERETTE,ST,EVERETTE ST,OPEN,MINOR COLLECTOR,HRM,NULL,DM,200000641,0,DARTMOUTH,2001-09-18 00:00:00.0000000,2022-09-12 18:54:21.0000000,35.8642637390111,40935934,NULL
9999,CHARDONNAY,CRT,CHARDONNAY CRT,OPEN,LOCAL STREET,HRM,2021-08-27 00:00:00.0000000,SD,700011404,NULL,TIMBERLEA,2021-03-16 13:49:26.0000000,2023-03-13 18:45:57.0000000,131.127216195181,41468554,NULL
9999,RIVERFRONT,CRT,RIVERFRONT CRT,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,400000354,0,MINEVILLE,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,111.593712781954,40954802,NULL
9999,TWO RIVERS,DR,TWO RIVERS DR,OPEN,MINOR COLLECTOR,HRM,2022-06-01 00:00:00.0000000,CR,400000355,0,MINEVILLE,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,121.755355466658,40953309,NULL
9999,CARLISLE,DR,CARLISLE DR,OPEN,LOCAL STREET,HRM,2003-06-15 00:00:00.0000000,DM,200002783,0,COLE HARBOUR,2001-09-20 00:00:00.0000000,2022-09-12 18:54:21.0000000,92.8318057083132,40950230,NULL
9999,HALFWAY LAKE,DR,HALFWAY LAKE DR,OPEN,LOCAL STREET,HRM,2006-04-01 00:00:00.0000000,CR,600001080,0,HAMMONDS PLAINS,2001-06-18 00:00:00.0000000,2020-11-09 00:00:00.0000000,151.875023939636,40905176,NULL
9999,ANDREA LORI,DR,ANDREA LORI DR,OPEN,LOCAL STREET,HRM,NULL,DM,100001996,0,MIDDLE SACKVILLE,2001-05-15 00:00:00.0000000,2020-11-09 00:00:00.0000000,222.990620263467,40905457,NULL
9999,STORY,CRT,STORY CRT,OPEN,LOCAL STREET,HRM,NULL,DM,100001097,0,BEDFORD,2001-09-14 00:00:00.0000000,2020-11-09 00:00:00.0000000,71.7630691149918,40438061,SOLD
9999,BASINVIEW,DR,BASINVIEW DR,OPEN,MINOR COLLECTOR,HRM,NULL,DM,100000283,0,BEDFORD,2001-09-14 00:00:00.0000000,2020-11-09 00:00:00.0000000,200.733658724375,40917056,NULL
