OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
267,RRRDLJ60,PRINCESS MARGARET,BLVD,PRINCESS MARGARET BLVD,HRM,PRINCESS MARGARET BLVD,PRINCESS MARGARET BLVD,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501211,3226R,0,0,408,426,,DARTMOUTH,DARTMOUTH,NAR,ER,6545,6545,ST51249,4/14/2026 18:21:21,4/16/2026 14:26:03,,E1,110.668940706768794
268,RRRDLJ60,PRINCESS MARGARET,BLVD,PRINCESS MARGARET BLVD,HRM,PRINCESS MARGARET BLVD,PRINCESS MARGARET BLVD,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501216,3226R,0,0,428,438,,DARTMOUTH,DARTMOUTH,NAR,ER,6545,6545,ST51254,4/14/2026 18:21:21,4/15/2026 19:06:06,,E1,72.833181496869983
269,RRRDLJ60,PRINCESS MARGARET,BLVD,PRINCESS MARGARET BLVD,HRM,,IROQUOIS DR,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501213,3226R,0,0,460,464,0,DARTMOUTH,DARTMOUTH,NAR,ER,6545,6545,ST51251,4/14/2026 18:21:21,4/14/2026 18:21:21,,E1,44.127684332014553
270,RRRDLJ60,PRINCESS MARGARET,BLVD,PRINCESS MARGARET BLVD,HRM,IROQUOIS DR,,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501222,3226R,0,0,466,466,0,DARTMOUTH,DARTMOUTH,NAR,ER,6545,6545,ST51260,4/14/2026 18:21:21,4/14/2026 18:21:21,,E1,14.959605532630377
271,RRRDLJ60,DEMETREOUS,LANE,DEMETREOUS LANE,HRM,DEMETREOUS LANE,END,FOTD,OPEN,LOCAL STREET,HRM,,,,FA,700008257,3240,63,75,0,0,700008132,DARTMOUTH,DARTMOUTH,OL,NAR,6815,6815,ST16875,1/27/2012 0:00:00,10/26/2012 0:00:00,,E2,27.617577735730311
272,RRRD,GLORIA MCCLUSKEY,AVE,GLORIA MCCLUSKEY AVE,HRM,RAMONA CRT,COLFORD AVE,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700004216,3246,17,101,16,100,0,DARTMOUTH,DARTMOUTH,OL,ER,15021,15021,ST2825,11/20/2001 0:00:00,10/19/2020 0:00:00,,E1,564.504826998824797
273,RRRDLJ60,PINECREST,DR,PINECREST DR,HRM,CRYSTAL DR,PINECREST DR,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,200000046,3250,87,129,92,130,0,DARTMOUTH,DARTMOUTH,OL,ER,6528,6528,ST6559,11/9/2001 0:00:00,,,E1,406.866437837577735
274,RRRD,WILLIAMS LAKE,RD,WILLIAMS LAKE RD,HRM,BRADBURY LANE,COLPITT LAKE RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300002569,3289,4,22,5,25,0,HALIFAX,HALIFAX,EL,OR,869,869,ST6602,12/27/2001 0:00:00,6/20/2016 0:00:00,,WSZ4,160.431295215121054
275,RRRD,WILLIAMS LAKE,RD,WILLIAMS LAKE RD,HRM,SAGEWOOD LANE,BIRCHVIEW DR,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,SD,700003553,3289,74,76,85,101,0,HALIFAX,HALIFAX,EL,OR,869,869,ST2309,12/27/2001 0:00:00,,,WSZ4,154.843346723309878
276,RRRD,WILLIAMS LAKE,RD,WILLIAMS LAKE RD,HRM,MCNAB DR,FORWARD AVE,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,300002488,3289,120,140,123,139,0,HALIFAX,HALIFAX,EL,OR,869,869,ST7175,12/27/2001 0:00:00,6/15/2021 0:39:32,,WSZ4,144.974819784311194
