OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
373,RRRD,CELEBRATION,DR,CELEBRATION DR,HRM,PIGGOTT AVE,CELEBRATION DR,BOTH,OPEN,LOCAL STREET,HRM,,,,SD,700500596,5180,556,560,557,561,700008280,FALL RIVER,FALL RIVER,EL,OR,15809,15809,ST50596,1/13/2026 18:03:13,1/13/2026 21:41:32,,WSZ2,18.814101096824579
374,RRRD,CELEBRATION,DR,CELEBRATION DR,HRM,BEAVERBROOK DR,WASHINGTON LANE,BOTH,OPEN,LOCAL STREET,HRM,1/3/2012 0:00:00,,,SD,700007340,5180,140,376,141,377,700008281,FALL RIVER,FALL RIVER,EL,OR,15809,15809,ST12208,8/19/2010 0:00:00,5/12/2025 17:53:09,,WSZ2,725.005330488275604
375,RRRD,CELEBRATION,DR,CELEBRATION DR,HRM,CEDARMOSS LANE,PARISH ST,BOTH,OPEN,LOCAL STREET,HRM,8/18/2025 0:00:00,,,SD,700014166,5180,608,614,607,613,700008280,FALL RIVER,FALL RIVER,EL,OR,15809,15809,ST51385,4/30/2025 12:27:24,4/30/2025 12:27:24,,WSZ2,19.232961851981219
376,RRRD,GLEN ARBOUR,WAY,GLEN ARBOUR WAY,HRM,GLEN ARBOUR WAY,TAHOE CRT,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,SD,700008447,5125,4,26,3,27,700005796,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15263,15263,ST6032,11/26/2012 0:00:00,11/26/2012 0:00:00,,WSZ3,250.203259230136183
377,RRRD,GLEN ARBOUR,WAY,GLEN ARBOUR WAY,HRM,GREENSIDE LANE,THOMPSON RUN,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CR,600001310,5125,184,292,183,293,700011825,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15263,15263,ST6738,6/15/2001 0:00:00,5/13/2025 13:47:52,,WSZ3,864.931301491063891
378,RRRD,MARKETWAY,LANE,MARKETWAY LANE,HRM,TUSCANY RUN,TUSCANY RUN,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,SD,700011706,5082,260,328,261,329,700011401,TIMBERLEA,TIMBERLEA,EL,OR,15719,15719,ST48933,2/17/2022 15:43:15,5/28/2025 17:26:55,,WSZ4,207.135771845822291
379,RRRD,ALM-A,RAMP,ALM-A RAMP,HRM,ALM-D RAMP,ALM-E RAMP,BOTH,OPEN,ARTERIAL,HRM,,,,DM,700500013,4311,0,0,0,0,,HALIFAX,HALIFAX,NAR,NAR,960,960,ST50013,7/15/2025 17:54:29,7/16/2025 16:42:35,,W1,24.108498112284302
380,RRRD,WEBSTER,TERR,WEBSTER TERR,HRM,SOUTH ST,WEBSTER TERR,BOTH,OPEN,LOCAL STREET,HRM,,,  MGS,DM,700006736,5093,1200,1232,1201,1233,700007346,HALIFAX,HALIFAX,EL,OR,854,854,ST6247,9/23/2001 0:00:00,,,W1,108.055398851152503
381,RRRD,WEBSTER,TERR,WEBSTER TERR,HRM,WEBSTER TERR,END,BOTH,OPEN,LOCAL STREET,HRM,,,  MGS,DM,700006737,5093,1234,1244,0,0,,HALIFAX,HALIFAX,EL,NAR,854,854,ST5128,9/23/2001 0:00:00,,,W1,32.287708161193862
382,RRRD,RAFTING,DR,RAFTING DR,HRM,RAFTING DR,EXECUTIVE DR,BOTH,OPEN,LOCAL STREET,HRM,6/20/2014 0:00:00,,,SD,700009692,4335,38,66,39,67,700008494,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,8502,8502,ST17178,6/26/2014 0:00:00,7/22/2014 0:00:00,,WSZ2,90.981169112643315
383,RRRD,THOMAS RADDALL,DR,THOMAS RADDALL DR,HRM,THOMAS RADDALL DR,THOMAS RADDALL DR,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700006593,5147,106,252,107,253,0,HALIFAX,HALIFAX,EL,OR,15802,15802,ST9585,9/11/2002 0:00:00,,,W3,421.935657845005892
384,RRRDCE60,MELHAM,DR,MELHAM DR,HRM,SACKVILLE DR,CROSSFIELD RG,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,100002027,4392,2,28,1,29,0,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,8195,8195,ST3212,7/11/2001 0:00:00,8/24/2015 0:00:00,,WSZ2,133.668516304782571
385,RRRDLJ80,WESTWIND,RG,WESTWIND RG,HRM,,GAUDET DR,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,100002022,4396,46,140,47,139,100000560,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,5558,5558,ST13994,7/5/2001 0:00:00,10/17/2011 0:00:00,,WSZ2,864.899781129914686
386,RRRD,PARKLAND,DR,PARKLAND DR,HRM,PARKLAND DR,HEATHSIDE CRES,BOTH,OPEN,MAJOR COLLECTOR,HRM,1/10/2001 0:00:00,,,DM,300003622,442,544,560,545,559,0,HALIFAX,HALIFAX,EL,OR,1082,1082,ST2777,12/7/2001 0:00:00,,,W3,84.918557903967624
387,RRRD,ROSEMARY,DR,ROSEMARY DR,HRM,NEWRIDGE DR,AXTON LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,2/1/2002 0:00:00,,,SD,700008141,4432,84,252,83,253,100002524,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,15629,15629,ST12778,9/28/2011 0:00:00,11/10/2021 18:44:27,,WSZ2,466.712494248659425
388,RRRD,ROSEMARY,DR,ROSEMARY DR,HRM,MARIGOLD DR,ORCHARD DR,BOTH,OPEN,MINOR COLLECTOR,HRM,1/26/2005 0:00:00,,,DM,700002505,4432,656,920,657,919,0,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,15629,15629,ST11179,2/1/2005 0:00:00,12/20/2017 0:00:00,,WSZ2,770.382053633450141
389,RRRD,SNOWBERRY,CRT,SNOWBERRY CRT,HRM,DIAMOND LANE,END,BOTH,OPEN,LOCAL STREET,HRM,9/28/1999 0:00:00,,,DM,100002337,4433,16,270,17,269,0,MIDDLE SACKVILLE,MIDDLE SACKVILLE,EL,OR,15454,15454,ST7735,7/9/2001 0:00:00,11/10/2021 18:57:39,,WSZ2,336.600169311966567
390,RRRD,TREMONT,DR,TREMONT DR,HRM,CREST RD,END,BOTH,OPEN,LOCAL STREET,HRM,3/31/2016 0:00:00,,,SD,700010352,445,54,80,53,79,700007097,HALIFAX,HALIFAX,EL,OR,822,822,ST30828,4/5/2016 0:00:00,4/7/2016 0:00:00,,W3,114.447211753058866
391,RRRD,TIMBERLEA VILLAGE,PKY,TIMBERLEA VILLAGE PKY,HRM,AMALFI WAY,MARKETWAY LANE,BOTH,OPEN,ARTERIAL,HRM,,,,CS,300003662,5083,56,290,57,291,0,TIMBERLEA,TIMBERLEA,EL,OR,15466,15466,ST3379,12/13/2001 0:00:00,9/6/2024 18:16:12,,WSZ4,718.867021968829931
392,RRRD,GREEN VILLAGE,LANE,GREEN VILLAGE LANE,HRM,HAMLET LANE,END,BOTH,OPEN,LOCAL STREET,HRM,1/22/2002 0:00:00,,  UIMSR,DM,200003229,4496,104,232,105,231,0,DARTMOUTH,DARTMOUTH,EL,OR,15627,15627,ST4000,1/4/2002 0:00:00,6/1/2018 0:00:00,,E2,351.485078251882385
393,RRRDLJ70,CREST,DR,CREST DR,HRM,WAVERLEY RD,ANGEL CRT,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,200002571,4573,2,18,1,17,0,DARTMOUTH,DARTMOUTH,EL,OR,6165,6165,ST9776,10/19/2001 0:00:00,7/16/2025 12:33:02,,WSZ1,150.293932808212560
394,RRRDLJ60,GREENHEAD,RD,GREENHEAD RD,HRM,FLOWER CRT,END,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CS,300003230,4659,164,230,165,231,0,LAKESIDE,LAKESIDE,EL,OR,7660,7660,ST9246,12/3/2001 0:00:00,9/15/2021 16:15:02,,WSZ4,203.453849883212428
395,RRRD,SCHOOL,AVE,SCHOOL AVE,HRM,MELROSE AVE,SCHOOL AVE,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,300001475,466,2,136,1,137,700006955,HALIFAX,HALIFAX,EL,OR,742,742,ST4844,12/11/2001 0:00:00,2/6/2025 18:20:14,,W3,1072.478044515449710
396,RRRD,KEARNEY LAKE,RD,KEARNEY LAKE RD,HRM,PARKLAND DR,KEARNEY LAKE RD,BOTH,OPEN,ARTERIAL,HRM,,,,CR,700002345,467,124,134,125,135,300000026,HALIFAX,HALIFAX,EL,OR,440,440,ST6290,12/17/2001 0:00:00,10/4/2024 15:04:01,,WSZ3,128.522999282830426
397,RRRD,KEARNEY LAKE,RD,KEARNEY LAKE RD,HRM,GEM LANE,KEARNEY LAKE RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CR,100001755,467,362,466,361,467,0,BEDFORD,BEDFORD,EL,OR,5097,5097,ST5382,12/31/2001 0:00:00,10/10/2014 0:00:00,,WSZ3,737.443254028458796
398,RRRD,MAPLE GROVE,AVE,MAPLE GROVE AVE,HRM,AMALFI WAY,AVIGNON LANE,BOTH,OPEN,LOCAL STREET,HRM,2/6/2012 0:00:00,,,SD,700007990,4679,180,220,181,221,,TIMBERLEA,TIMBERLEA,EL,OR,8132,8132,ST16336,8/4/2011 0:00:00,4/7/2020 0:00:00,,WSZ4,127.364872036348530
399,RRRDLG60,MASONS POINT,RD,MASONS POINT RD,HRM,BONAVISTA DR,BREAGHA LANE,BOTH,OPEN,LOCAL STREET,HRM,6/1/2022 0:00:00,,,DM,600000977,4684,2,114,1,115,0,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,EL,OR,10647,10647,ST9658,11/13/2001 0:00:00,5/27/2022 18:06:54,,WSZ4,544.874306084206523
400,RRRD,NORTH RIDGE,RD,NORTH RIDGE RD,HRM,NOVALEA DR,NORTH RIDGE RD,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,300000163,4826,5500,5576,5501,5577,0,HALIFAX,HALIFAX,EL,OR,596,596,ST13545,12/16/2001 0:00:00,,,W2,178.721520451522451
401,RRRD,EVERGREEN,PL,EVERGREEN PL,HRM,PROSPECT RD,END,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700501057,469,,,,,300003475,GOODWOOD,GOODWOOD,EL,OR,1049,1049,ST51057,2/5/2026 14:55:56,2/5/2026 14:55:56,,NPS,174.601201731689002
402,RRRDLG60,ISLAND VIEW,DR,ISLAND VIEW DR,HRM,COMPASS CRES,ISLAND VIEW DR,BOTH,OPEN,LOCAL STREET,HRM,6/1/2022 0:00:00,,,CR,700001192,4699,426,520,427,521,600000401,BOUTILIERS POINT,BOUTILIERS POINT,EL,OR,10521,10521,ST9118,11/13/2001 0:00:00,5/27/2022 18:06:39,,WSZ4,438.494007698880637
403,RRRDLG60,BOUTILIERS POINT,RD,BOUTILIERS POINT RD,HRM,AWALT LANE,BANDIT LANE,BOTH,OPEN,LOCAL STREET,HRM,6/1/2022 0:00:00,,,CA,600000162,4701,102,206,101,207,0,BOUTILIERS POINT,BOUTILIERS POINT,EL,OR,7133,7133,ST11154,11/13/2001 0:00:00,10/4/2024 15:04:01,,WSZ4,453.613360824890890
404,RRRD,HUDSON,WAY,HUDSON WAY,HRM,BAFFIN BLVD,PRINCESS MARGARET BLVD,BOTH,OPEN,LOCAL STREET,HRM,3/4/2020 0:00:00,,,SD,700014164,4719,351,395,352,394,700011131,DARTMOUTH,DARTMOUTH,OL,ER,10512,10512,ST51383,4/16/2025 15:37:42,4/29/2025 14:55:39,,E1,137.866791800307624
405,RRRD,DUNBRACK,ST,DUNBRACK ST,HRM,DUNBRACK ST,WASHMILL LAKE DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,7/7/2008 0:00:00,,TL,DM,700007078,477RB2,0,0,0,0,,HALIFAX,HALIFAX,NAR,NAR,274,274,ST15646,7/15/2008 0:00:00,4/29/2019 0:00:00,,W3,53.645557035093418
406,RRRDLH60,SIMMONDS,RD,SIMMONDS RD,HRM,SIMMONDS RD,DONALD LANE,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700003162,4785,50,110,51,105,0,NORTH PRESTON,NORTH PRESTON,EL,OR,8722,8722,ST12915,10/4/2001 0:00:00,,,WSZ1,294.767689127299491
407,RRRDLH60,SIMMONDS,RD,SIMMONDS RD,HRM,DONALD LANE,INEZ LANE,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700000469,4785,112,150,107,149,200001590,NORTH PRESTON,NORTH PRESTON,EL,OR,8722,8722,ST2066,10/4/2001 0:00:00,10/4/2024 15:04:01,,WSZ1,156.729612569699128
408,RRRD,KNIGHTSRIDGE,DR,KNIGHTSRIDGE DR,HRM,FLAMINGO DR,KNIGHTSRIDGE DR,BOTH,OPEN,MINOR COLLECTOR,HRM,3/31/2016 0:00:00,,,CA,300000166,48,138,192,137,193,700010345,HALIFAX,HALIFAX,EL,OR,987,987,ST9865,8/17/2023 19:25:11,9/6/2024 18:16:12,,W3,152.862775698952447
409,RRRD,BALCOMES,DR,BALCOMES DR,HRM,FERNDALE DR,BALCOMES DR,BOTH,OPEN,LOCAL STREET,HRM,,,GNP,DM,700000731,4848,2,12,1,13,7,HALIFAX,HALIFAX,EL,OR,55,55,ST7244,12/31/2001 0:00:00,,,WSZ4,73.463197967918063
410,RRRD,STARBOARD,DR,STARBOARD DR,HRM,TRANSOM DR,FLEETVIEW DR,BOTH,OPEN,MINOR COLLECTOR,HRM,7/15/2016 0:00:00,,,SD,700010609,5019,276,428,277,429,700001304,HALIFAX,HALIFAX,EL,OR,15583,15583,ST35919,7/12/2016 0:00:00,7/22/2016 0:00:00,,WSZ3,461.193108357153733
411,RRRD,STARBOARD,DR,STARBOARD DR,HRM,FLEETVIEW DR,FRIESIAN CRT,BOTH,OPEN,MINOR COLLECTOR,HRM,3/2/2016 0:00:00,,,SD,700009887,5019,430,474,431,475,700009670,HALIFAX,HALIFAX,EL,OR,15583,15583,ST17314,2/25/2015 0:00:00,3/16/2016 0:00:00,,WSZ3,142.648455158595368
412,RRRD,STARBOARD,DR,STARBOARD DR,HRM,FRIESIAN CRT,PEAKVIEW WAY,BOTH,OPEN,MINOR COLLECTOR,HRM,2/19/2015 0:00:00,,,SD,700007427,5019,476,592,477,593,700009669,HALIFAX,HALIFAX,EL,OR,15583,15583,ST14032,10/22/2010 0:00:00,2/19/2015 0:00:00,,WSZ3,359.643530510508583
413,RRRDLJ60,BEECHCREST,DR,BEECHCREST DR,HRM,BROOKFALLS CRT,END,BOTH,OPEN,LOCAL STREET,HRM,1/11/2016 0:00:00,,,DM,700001647,5113,102,244,101,245,700010091,WAVERLEY,WAVERLEY,EL,OR,7070,7070,ST10631,12/27/2001 0:00:00,1/11/2016 0:00:00,,WSZ1,648.407144701327411
414,RRRD,BANCROFT,LANE,BANCROFT LANE,HRM,WINDMILL RD,MARKETPLACE DR,BOTH,OPEN,LOCAL STREET,HRM,8/17/2018 0:00:00,,,DM,200002259,5118,2,42,1,43,700010919,DARTMOUTH,DARTMOUTH,EL,OR,15782,15782,ST1522,7/30/2002 0:00:00,8/22/2018 0:00:00,,E1,160.277576930574526
415,RRRD,PIGGOTT,AVE,PIGGOTT AVE,HRM,KINROSS CRT,ARCHWAY CRT,BOTH,OPEN,LOCAL STREET,HRM,1/3/2012 0:00:00,,,DM,100002639,5181,2,584,1,585,700008282,FALL RIVER,FALL RIVER,EL,OR,15811,15811,ST9504,10/15/2002 0:00:00,2/27/2017 0:00:00,,WSZ2,1781.609475777544276
416,RRRDLJ60,COLONEL JOSEPH SCOTT,DR,COLONEL JOSEPH SCOTT DR,HRM,DISPENSING WAY,COLONEL JOSEPH SCOTT DR,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700014174,5254,42,68,41,67,700001873,LOWER SACKVILLE,LOWER SACKVILLE,EL,OR,15495,15495,ST51393,4/28/2025 16:24:00,4/30/2025 12:15:21,,WSZ2,59.959346951058365
417,RRRDLG60,CHERRY BROOK,RD,CHERRY BROOK RD,HRM,CHERRY BROOK RD,BUNDY LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,DM,200003143,598,14,226,15,221,0,CHERRY BROOK,CHERRY BROOK,EL,OR,7264,7264,ST5505,10/4/2001 0:00:00,7/25/2011 0:00:00,,WSZ1,1001.482492563833034
418,RRRD,TRANSOM,DR,TRANSOM DR,HRM,MASTHEAD CRT,STARBOARD DR,BOTH,OPEN,LOCAL STREET,HRM,9/19/2016 0:00:00,,,SD,700010632,5257,208,330,209,331,700010321,HALIFAX,HALIFAX,EL,OR,15584,15584,ST38815,9/13/2016 0:00:00,9/19/2016 0:00:00,,WSZ3,367.621688922151975
419,RRRD,GREYSTONE,DR,GREYSTONE DR,HRM,LEMON WALK,ORANGE WALK,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,700000782,5274,74,98,75,99,700000781,HALIFAX,HALIFAX,EL,OR,410,410,ST6726,12/31/2001 0:00:00,,,WSZ4,74.105117873283277
420,RRRD,GREYSTONE,DR,GREYSTONE DR,HRM,LAVENDER WALK,CRANBERRY CRT,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700000784,5274,110,142,111,143,7,HALIFAX,HALIFAX,EL,OR,410,410,ST11831,12/31/2001 0:00:00,,,WSZ4,88.196783063766716
421,RRRD,GREYSTONE,DR,GREYSTONE DR,HRM,CRANBERRY CRT,INDIGO WALK,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,700000786,5274,144,188,145,189,700001893,HALIFAX,HALIFAX,EL,OR,410,410,ST795,12/31/2001 0:00:00,,,WSZ4,139.381619894611390
422,RRRD,GREYSTONE,DR,GREYSTONE DR,HRM,LAVENDER WALK,REGAN DR,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,700000788,5274,212,244,213,245,7,HALIFAX,HALIFAX,EL,OR,410,410,ST11291,12/31/2001 0:00:00,,,WSZ4,99.160254969634536
423,RRRD,THICKET,DR,THICKET DR,HRM,HIDEAWAY TRL,STARFLOWER WAY,BOTH,OPEN,LOCAL STREET,HRM,2/6/2013 0:00:00,,,CS,700008513,6026,100,394,101,395,700008397,BROOKSIDE,BROOKSIDE,EL,OR,16795,16795,ST16952,2/8/2013 0:00:00,4/29/2021 21:04:35,,PBHV,915.204638749729611
424,RRRD,HEDDAS,WAY,HEDDAS WAY,HRM,GLENCAIRN AVE,DUNSMORE DR,BOTH,OPEN,LOCAL STREET,HRM,2/26/2019 0:00:00,,,SD,700011128,6058,158,326,159,327,700007291,FALL RIVER,FALL RIVER,EL,OR,16828,16828,ST48355,2/20/2019 0:00:00,3/4/2019 0:00:00,,WSZ2,517.604026513732265
425,RRRD,HEDDAS,WAY,HEDDAS WAY,HRM,DUNSMORE DR,BALLENTYNE WAY,BOTH,OPEN,LOCAL STREET,HRM,2/26/2019 0:00:00,,,SD,700011129,6058,328,468,329,469,700008574,FALL RIVER,FALL RIVER,EL,OR,16828,16828,ST48356,2/20/2019 0:00:00,3/4/2019 0:00:00,,WSZ2,426.371304993056015
426,RRRD,WESTERWALD,ST,WESTERWALD ST,HRM,MELROSE AVE,,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,300001072,5343,3310,3348,3311,3349,0,HALIFAX,HALIFAX,EL,OR,15839,15839,ST5380,12/11/2001 0:00:00,9/6/2024 18:16:12,,W3,92.855497633746566
427,RRRD,VIRIDIAN,DR,VIRIDIAN DR,HRM,,PROMISE GRV,BOTH,OPEN,LOCAL STREET,HRM,12/24/2009 0:00:00,,,DM,700006234,5948,1,99,2,100,,DARTMOUTH,DARTMOUTH,OL,ER,16708,16708,ST7721,4/16/2008 0:00:00,,,E1,312.635043859571454
428,RRRD,EVERWOOD,AVE,EVERWOOD AVE,HRM,EASTWIND DR,END,BOTH,OPEN,LOCAL STREET,HRM,,,,CS,700011767,5915,88,594,89,595,700005930,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,16675,16675,ST48994,5/3/2022 5:05:59,3/27/2025 15:23:31,,WSZ3,1593.944727174787431
429,RRRD,REBECCA,DR,REBECCA DR,HRM,GINGERBREAD LANE,END,BOTH,OPEN,LOCAL STREET,HRM,1/7/2009 0:00:00,,,CS,700006750,5393,178,234,179,235,,BEAVER BANK,BEAVER BANK,EL,OR,16040,16040,ST11305,10/7/2008 0:00:00,3/18/2022 15:00:30,,WSZ2,182.763457423160077
430,RRRD,HOBSONS LAKE,DR,HOBSONS LAKE DR,HRM,HOBSONS LAKE DR,SUSIE LAKE CRES,BOTH,OPEN,MINOR COLLECTOR,HRM,3/5/2020 0:00:00,,,CS,700010995,5957,28,374,29,375,700011275,BEECHVILLE,BEECHVILLE,EL,OR,16848,16848,ST48222,3/6/2018 0:00:00,6/3/2025 11:45:35,,WSZ4,1068.202961528616243
431,RRRD,COUNTRYVIEW,DR,COUNTRYVIEW DR,HRM,END,COUNTRYVIEW DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,9/29/2017 0:00:00,,,SD,700501204,5728R,381,383,0,0,700010721,DARTMOUTH,DARTMOUTH,OL,ER,16469,16469,ST51242,4/14/2026 14:44:47,4/14/2026 14:44:47,,E1,18.780383221638299
432,RRRD,COUNTRYVIEW,DR,COUNTRYVIEW DR,HRM,COUNTRYVIEW DR,COUNTRYVIEW-WRIGHT-B RAMP,FOTD,OPEN,MAJOR COLLECTOR,HRM,9/29/2017 0:00:00,,,DM,700501206,5728R,355,365,0,0,,DARTMOUTH,DARTMOUTH,OL,ER,16469,16469,ST51244,4/14/2026 14:44:47,4/14/2026 14:44:47,,PBRS,36.165015774456826
433,RRRD,COUNTRYVIEW,DR,COUNTRYVIEW DR,HRM,COUNTRYVIEW-WRIGHT-B RAMP,COUNTRYVIEW DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,SD,700501205,5728R,351,353,0,0,,DARTMOUTH,DARTMOUTH,OL,ER,16469,16469,ST51243,4/14/2026 14:44:47,4/14/2026 14:44:47,,PBRS,12.717111817673734
434,RRRDLG60,NORTH PRESTON,RD,NORTH PRESTON RD,HRM,BRAMCO LANE,JOHNSON RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CR,700003177,5687,342,872,343,871,0,NORTH PRESTON,NORTH PRESTON,EL,OR,16429,16429,ST2550,10/5/2001 0:00:00,5/13/2016 0:00:00,,WSZ1,2423.076868180638485
435,RRRD,WRIGHT LAKE,RUN,WRIGHT LAKE RUN,HRM,OCEANSTONE DR,FALCOURT RUN,BOTH,OPEN,LOCAL STREET,HRM,5/16/2007 0:00:00,,,DM,700003823,5643,242,338,241,339,700003824,UPPER TANTALLON,UPPER TANTALLON,EL,OR,16382,16382,ST5171,5/17/2007 0:00:00,2/7/2022 20:54:32,,WSZ3,311.202091319048293
436,RRRD,ABILENE,AVE,ABILENE AVE,HRM,DAKOTA DR,CALDERWOOD DR,BOTH,OPEN,LOCAL STREET,HRM,4/1/2006 0:00:00,,,DM,700004726,5665,130,408,131,409,700007495,WELLINGTON,WELLINGTON,EL,OR,16407,16407,ST13256,1/30/2006 0:00:00,9/5/2017 0:00:00,,PBRS,858.294530936899378
437,RRRD,FREER,LANE,FREER LANE,HRM,COURAGE LANE,END,BOTH,OPEN,LOCAL STREET,HRM,2/5/2007 0:00:00,,,CS,700003122,5668,12,40,11,39,,LOWER SACKVILLE,LOWER SACKVILLE,EL,OR,16410,16410,ST9487,2/9/2006 0:00:00,10/4/2024 15:04:01,,WSZ2,86.725314780927476
438,RRRD,WENTWORTH,DR,WENTWORTH DR,HRM,ROCKHAVEN DR,THERESA MCNEIL GRV,BOTH,OPEN,MINOR COLLECTOR,HRM,3/31/2016 0:00:00,,,SD,700010324,571,34,106,35,107,,HALIFAX,HALIFAX,EL,OR,15293,15293,ST30800,4/5/2016 0:00:00,4/7/2016 0:00:00,,W3,189.425675296269588
439,RRRD,SAWGRASS,DR,SAWGRASS DR,HRM,SEDONA CRT,COULTER CRES,BOTH,OPEN,LOCAL STREET,HRM,6/4/2014 0:00:00,,,DM,700007068,5749,150,200,151,199,700009648,OAKFIELD,OAKFIELD,EL,OR,16494,16494,ST12047,7/2/2009 0:00:00,6/6/2014 0:00:00,,PBRS,324.206981786707445
440,RRRD,NEWBURY,RD,NEWBURY RD,HRM,NATURA DR,CRANLEY RD,BOTH,OPEN,LOCAL STREET,HRM,4/11/2007 0:00:00,,,DM,700003462,5755,132,494,133,495,,LUCASVILLE,LUCASVILLE,EL,OR,16499,16499,ST1905,12/8/2006 0:00:00,9/6/2024 18:16:12,,WSZ3,1187.397204550324432
441,RRRDAB50,HIGHWAY 7,,HIGHWAY 7,HRM,LOONVIEW LANE,MONTAGUE RD,BOTH,OPEN,ARTERIAL,HRM,,,,DM,200001080,580,653,737,652,736,0,WESTPHAL,WESTPHAL,OL,ER,10494,10494,ST3456,11/8/2001 0:00:00,2/24/2016 0:00:00,,WSZ1,368.220570153957055
442,RRRD,ALVENA CAIN,AVE,ALVENA CAIN AVE,HRM,ADAMS AVE,HERON WALK,BOTH,OPEN,LOCAL STREET,HRM,,"BARRICADE ON DIVAS LANE, DOES NOT CONNECT TO BRUNSWICK ST",,CR,700001905,5829,5420,5448,5421,5449,300002967,HALIFAX,HALIFAX,EL,OR,16575,16575,ST8988,1/1/2002 0:00:00,9/6/2024 18:16:12,,W1,43.170971601034523
443,RRRD,ALVENA CAIN,AVE,ALVENA CAIN AVE,HRM,ADAMS AVE,END,BOTH,OPEN,LOCAL STREET,HRM,,"BARRICADE ON DIVAS LANE, DOES NOT CONNECT TO BRUNSWICK ST",,CR,300002959,5829,5400,5418,5401,5419,0,HALIFAX,HALIFAX,EL,OR,16575,16575,ST12235,1/1/2002 0:00:00,9/6/2024 18:16:12,,W1,29.147191210567510
444,RRRD,BENTLY,DR,BENTLY DR,HRM,WASHMILL LAKE DR,VIEWCREST DR,BOTH,OPEN,LOCAL STREET,HRM,7/7/2008 0:00:00,,,DM,700003846,5846,2,46,1,47,,HALIFAX,HALIFAX,EL,OR,16601,16601,ST7748,6/1/2007 0:00:00,10/2/2020 0:00:00,,W3,157.818896420669375
445,RRRD,WILKINSON,AVE,WILKINSON AVE,HRM,WILKINSON AVE,CUTLER AVE,BOTH,OPEN,LOCAL STREET,HRM,4/28/2016 0:00:00,,,SD,700500123,5934,281,615,280,614,700009673,DARTMOUTH,DARTMOUTH,OL,ER,16697,16697,ST50123,7/17/2025 12:51:45,11/20/2025 17:42:28,,E1,1098.856876613478107
446,RRRD,INNOVATION,DR,INNOVATION DR,HRM,WESTERN PKY,ANGUS MORTON DR,BOTH,OPEN,MINOR COLLECTOR,HRM,7/2/2010 0:00:00,,,DM,700006253,5952,50,102,51,103,,BEDFORD,BEDFORD,EL,OR,16713,16713,ST2275,5/12/2008 0:00:00,5/27/2016 0:00:00,,WSZ3,165.974842716691029
447,RRRD,INNOVATION,DR,INNOVATION DR,HRM,INNOVATION DR,INNOVATION DR,BOTH,OPEN,MINOR COLLECTOR,HRM,3/15/2013 0:00:00,,,DM,700010620,5952,118,160,119,161,700008543,BEDFORD,BEDFORD,EL,OR,16713,16713,ST37199,8/16/2016 0:00:00,,,WSZ3,129.635403954974777
