"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"6475","0","OCEANVIEW","DR","BEDFORD","OCEANVIEW DR","OPEN","HRM","","LOCAL STREET","DM","100001710","","","109.82311546","OCEANVIEW DR (JON JACQUES CRT TO NINE MILE DR)","OCEANVIEW DR (BEDFORD)","ASPHALT","7.56900000","8.30000000","2014-09-11","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-14","2020-11-09"
"6476","0","LISTER","DR","BEDFORD","LISTER DR","OPEN","HRM","","LOCAL STREET","DM","100002273","","","404.42912338","LISTER DR (NORTH ST TO BROCKWELL ST)","LISTER DR (BEDFORD)","ASPHALT","6.78800000","9.10000000","2013-11-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-22","2020-11-09"
"6477","0","RENFREW","ST","DARTMOUTH","RENFREW ST","OPEN","HRM","","LOCAL STREET","CR","200002537","","","624.70258114","RENFREW ST (PLEASANT ST TO GLENVIEW DR)","RENFREW ST (DARTMOUTH)","ASPHALT","2.63088641","9.00000000","2014-08-07","0","12.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-05","2021-08-06"
"6478","0","RYANS RIDGE","CRT","LOWER SACKVILLE","RYANS RIDGE CRT","OPEN","HRM","","LOCAL STREET","DM","100000170","","","75.62312626","RYANS RIDGE CRT (SANDRICK AVE TO END)","RYANS RIDGE CRT (LOWER SACKVILLE)","ASPHALT","6.11300000","9.00000000","2013-11-05","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-07-31","2020-11-09"
"6479","0","OLD SACKVILLE","RD","LOWER SACKVILLE","OLD SACKVILLE RD","OPEN","HRM","1999-02-01","MINOR COLLECTOR","DM","100000188","","","254.49935227","OLD SACKVILLE RD (MADELINE AVE TO RIDGE AVE)","OLD SACKVILLE RD (LOWER SACKVILLE)","ASPHALT","8.63300000","9.00000000","2013-11-06","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-08-02","2020-11-09"
"6480","0","JAMES","ST","TIMBERLEA","JAMES ST","OPEN","HRM","","MINOR COLLECTOR","DM","300003162","","","77.67746322","JAMES ST (ROLAND AVE TO ST MARGARETS BAY RD)","JAMES ST (TIMBERLEA)","ASPHALT","8.29000000","6.10000000","2015-08-05","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-22","2022-09-12"
"6481","99999","ST MARGARETS BAY","RD","UPPER TANTALLON","ST MARGARETS BAY RD","OPEN","HRM","2022-06-01","ARTERIAL","CA","600000100","","","1291.55895240","ST MARGARETS BAY RD (WHITE BIRCH DR to BUSTER LANE)","ST MARGARETS BAY RD (UPPER TANTALLON)","","","","","","","","","0.00000000","2023-10-13","2025-03-05","2001-12-12","2023-10-13"
"6482","0","DEVONSHIRE","DR","TIMBERLEA","DEVONSHIRE DR","OPEN","HRM","","MINOR COLLECTOR","DM","300003120","","","181.57504797","DEVONSHIRE DR (BAY CRT TO YORKSHIRE DR)","DEVONSHIRE DR (TIMBERLEA)","ASPHALT","9.84400000","8.30000000","2015-01-22","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-03","2022-09-12"
"6483","0","JUBILEE","RD","HALIFAX","JUBILEE RD","OPEN","HRM","","MINOR COLLECTOR","CA","300001746","","","73.54411195","JUBILEE RD (HENRY ST TO VERNON ST)","JUBILEE RD (HALIFAX)","ASPHALT","9.84400000","8.30000000","2015-01-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-10","2020-11-09"
"6484","0","BASINVIEW","DR","BEDFORD","BASINVIEW DR","OPEN","HRM","","MINOR COLLECTOR","DM","700006738","","","129.59694935","BASINVIEW DR (MEADOWBROOK DR TO SUNRISE HILL)","BASINVIEW DR (BEDFORD)","ASPHALT","10.00000000","9.10000000","2016-01-26","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-17","2020-11-09"
"6485","0","CANDLEWOOD","DR","PORTERS LAKE","CANDLEWOOD DR","OPEN","HRM","2004-07-29","LOCAL STREET","DM","400001359","","","597.06178054","CANDLEWOOD DR (PORTERFIELD DR TO COVE RD)","CANDLEWOOD DR (PORTERS LAKE)","ASPHALT","7.79100000","7.00000000","2015-10-30","0","10.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-03","2020-11-09"
"6486","0","COBEQUID","RD","WINDSOR JUNCTION","COBEQUID RD","OPEN","HRM","","MAJOR COLLECTOR","DM","100000788","","","274.36257319","COBEQUID RD (REGWOOD DR TO REGWOOD DR)","COBEQUID RD (WINDSOR JUNCTION)","ASPHALT","7.58900000","6.10000000","2015-07-15","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-27","2020-11-09"
"6488","0","LAKEMIST","CRT","DARTMOUTH","LAKEMIST CRT","OPEN","HRM","","LOCAL STREET","DM","200003201","","","230.71929406","","LAKEMIST CRT (DARTMOUTH)","ASPHALT","8.24700000","9.00000000","2014-10-10","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-21","2020-11-09"
"6489","0","BARQUE","CRT","MIDDLE SACKVILLE","BARQUE CRT","OPEN","HRM","","LOCAL STREET","DM","100001983","","","187.92323338","BARQUE CRT (MILLWOOD DR TO END)","BARQUE CRT (MIDDLE SACKVILLE)","ASPHALT","5.84600000","9.00000000","2013-10-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-07-10","2020-11-09"
"6490","0","SCOTT","DR","EASTERN PASSAGE","SCOTT DR","OPEN","HRM","","LOCAL STREET","DM","200000163","","","36.99171035","SCOTT DR (JANICE ANN DR TO END)","SCOTT DR (EASTERN PASSAGE)","ASPHALT","8.75600000","9.00000000","2014-10-09","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-13","2022-09-12"
"6491","0","ROY","CRES","BEDFORD","ROY CRES","OPEN","HRM","","LOCAL STREET","DM","100001083","","","152.65125229","ROY CRES (ANAHID CRT TO HARRIS CRT)","ROY CRES (BEDFORD)","ASPHALT","7.07800000","9.10000000","2014-09-11","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-14","2020-11-09"
"6492","0","ROSSING","DR","MIDDLE SACKVILLE","ROSSING DR","OPEN","HRM","2004-06-22","MINOR COLLECTOR","DM","100002601","","","75.90537624","ROSSING DR (LARRIGAN DR TO FURRING CRT)","ROSSING DR (MIDDLE SACKVILLE)","ASPHALT","7.97900000","9.00000000","2014-08-25","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2002-06-03","2020-11-09"
"6493","99999","ST MARGARETS BAY","RD","UPPER TANTALLON","ST MARGARETS BAY RD","OPEN","HRM","2022-06-01","ARTERIAL","CR","700001157","","","634.37302368","ST MARGARETS BAY RD (DANNYS LANE TO ST MARGARETS BAY RD)","ST MARGARETS BAY RD (UPPER TANTALLON)","","","","","","","","","600000106.00000000","","2025-03-05","2001-11-14","2022-05-31"
