"ASSET_ID","GROUP_ID","ACQ_TYPE","PID","ACQ_COST","ASSET_TYPE","OWNER","DISPOSAL","MAIN_CLASS","ACQ_DATE","DISP_DATE","DISP_TYPE","ACQDISPSOURCE","LAND_NAME","HECTARES","SERV_CAT","PARK_ID","PARK_NAME","REPL_COST","HRWC_FLAG","ASSET_RECORD_COUNT","HRM_PARCEL_ADDDATE","HRM_PARCEL_MODDATE"
"2059","1995","","40106882","","LAND","HRM","","OPN","","","","","FISH HATCHERY PARK","0.024","G","1995","FISH HATCHERY PARK","","","1","2007-11-06","2017-06-27"
"2060","2001","LAND","40753766","0.00000000","LAND","HRM","","OPN","1996-07-19","","","Transaction Summary","SCOTT MANOR HOUSE","0.870","G","2001","SCOTT MANOR HOUSE","","","1","2007-11-06","2017-06-27"
"2061","380","LAND","40108037","0.00000000","LAND","HRM","","OPN","1955-01-01","","","Transaction Summary","FORT SACKVILLE SCHOOL","0.371","G","4039","FORT SACKVILLE SCHOOL PARK","","","1","2007-11-06","2017-06-27"
"2062","380","","00415463","","LAND","HRM","","OPN","","","","","FORT SACKVILLE SCHOOL","0.190","G","4039","FORT SACKVILLE SCHOOL PARK","","","1","2007-11-06","2017-06-27"
"2063","2004","LAND","40348005","0.00000000","LAND","HRM","","OPN","1985-10-01","","","Transaction Summary","DARTMOUTH RD PARK","0.087","G","2004","DARTMOUTH ROAD PARK","","","1","2007-11-06","2017-06-27"
"2064","2005","LAND","40266587","0.00000000","LAND","HRM","","ITR","1983-01-01","","","Transaction Summary"," ","0.043","H","","","","","1","2007-11-06","2017-03-24"
"2065","2006","LAND","40111148","0.00000000","LAND","HRM","","OPN","1990-08-01","","","Transaction Summary","DARTMOUTH RD","0.140","G","","","","","1","2007-11-06","2017-03-24"
"2067","270","LAND","41073776","0.00000000","LAND","HRM","","OPN","2003-07-17","","","Transaction Summary","BROOK STATION OPEN SPACE BUFFER","0.125","G","","","","","1","2007-11-06","2017-03-24"
"2068","270","LAND","40255176","0.00000000","LAND","HRM","","OPN","1983-03-01","","","Transaction Summary","BROOK STATION OPEN SPACE BUFFER","0.012","G","","","","","1","2007-11-06","2017-03-24"
"2069","270","LAND","40255184","0.00000000","LAND","HRM","","OPN","1983-03-01","","","Transaction Summary","BROOK STATION OPEN SPACE BUFFER","0.010","G","","","","","1","2007-11-06","2017-03-24"
"2070","270","LAND","00650192","0.00000000","LAND","HRM","","OPN","1982-12-01","","","Transaction Summary","BROOK STATION OPEN SPACE BUFFER","0.042","G","","","","","1","2007-11-06","2017-03-24"
"2071","5061","LAND","40110447","0.00000000","LAND","HRM","","OPN","1964-12-01","","","Transaction Summary","EAGLEWOOD ELEMENTARY SCHOOL","2.773","G","5102","SUNNYSIDE ELEMENTARY SCHOOL PARK","","","1","2007-11-06","2017-06-27"
"2072","2013","LAND","40258535","0.00000000","LAND","HRM","","OPN","1983-04-01","","","Transaction Summary","GOLF LINKS PARK","1.567","G","2013","GOLF LINKS PARK","","","1","2007-11-06","2017-06-27"
"2073","2014","LAND","40114068","0.00000000","LAND","HRM","","VAC","1995-03-01","","","Transaction Summary"," ","0.072","H","","","","","1","2007-11-06","2017-03-24"
"2074","2015","LAND","40111296","0.00000000","LAND","HRM","","ITR","1988-03-01","","","Transaction Summary"," ","0.095","H","","","","","1","2007-11-06","2017-03-24"
"2075","270","LAND","00590075","0.00000000","LAND","HRM","","OPN","1982-12-01","","","Transaction Summary","BROOK STATION OPEN SPACE BUFFER","0.039","G","","","","","1","2007-11-06","2017-03-24"
"2077","2018","LAND","40648354","0.00000000","LAND","HRM","","VAC","1993-11-29","","","Transaction Summary"," ","0.055","H","","","","","1","2007-11-06","2017-03-24"
"2079","2020","","40543613","","LAND","HRM","","ITR","","","",""," ","0.061","G","","","","","1","2007-11-06","2017-03-24"
"2080","2021","LAND","40110454","0.00000000","LAND","PRIV","","VAC","1984-04-01","","","Transaction Summary","ARMCO LAND NOT HRM","0.030","H","","","","","1","2007-11-06","2017-03-24"
"2081","2020","","40543613","","LAND","HRM","","ITR","","","",""," ","0.042","G","","","","","1","2007-11-06","2017-03-24"
"2087","535","LAND","41016387","0.00000000","LAND","HRM","","OPN","2001-01-11","","","Transaction Summary","ANDREW COBB PARK","0.027","G","535","ANDREW COBB PARK","","","1","2007-11-06","2017-06-27"
"2090","2031","LAND","40395246","0.00000000","LAND","HRM","","OPN","1986-09-01","","","Transaction Summary","ADMIRAL COVE DR OPEN SPACE","0.094","G","","","","","1","2007-11-06","2017-03-24"
"2091","2032","LAND","00637025","0.00000000","LAND","HRM","","VAC","1996-03-19","","","Transaction Summary"," ","0.022","H","","","","","1","2007-11-06","2017-03-24"
"2092","2033","LAND","40395691","0.00000000","LAND","HRM","","VAC","1986-09-01","","","Transaction Summary"," ","0.085","H","","","","","1","2007-11-06","2017-03-24"
"2093","22","LAND","40114688","0.00000000","LAND","HRM","","OPN","1985-09-01","","","Transaction Summary","ADMIRALS COVE PARK","22.601","G","22","ADMIRAL COVE PARK","","","1","2007-11-06","2017-08-28"
"2094","2035","LAND","40432320","0.00000000","LAND","HRM","","VAC","1988-04-01","","","Transaction Summary"," ","0.088","H","","","","","1","2007-11-06","2017-03-24"
"2095","22","LAND","40114589","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","ADMIRALS COVE PARK","1.874","G","22","ADMIRAL COVE PARK","","","1","2007-11-06","2017-08-28"
"2096","2037","LAND","40415507","0.00000000","LAND","HRM","","VAC","1986-09-01","","","Transaction Summary"," ","0.023","H","","","","","1","2007-11-06","2017-03-24"
"2097","2038","LAND","40114563","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","PICNIC COVE PARK","0.402","G","2038","PICNIC COVE PARK","","","1","2007-11-06","2017-06-27"
